Year,Units,Series,federal state,GeoCode,county,Value
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,4.1
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,5.1
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,6.0
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,8.7
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,8.7
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,11.5
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,12.6
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,11.9
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,12.3
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,13.9
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,13.5
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,14.2
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,3.6
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,4.4
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,5.2
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,6.6
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,7.3
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,9.1
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,9.9
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,9.9
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,9.8
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,10.8
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,11.6
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,11.8
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,
2022,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,3.6
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,4.4
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,5.2
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,6.6
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,7.3
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,9.1
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,9.9
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,9.9
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,9.8
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,10.8
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,11.6
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,11.8
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05170,wesel,
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",11.1
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",12.7
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",14.2
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",15.0
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",15.3
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",19.8
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",21.5
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",20.8
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",21.1
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",22.7
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",22.8
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",22.8
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",
2022,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",11.1
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",12.7
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",14.2
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",15.0
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",15.3
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",19.8
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",21.5
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",20.8
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",21.1
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",22.7
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",22.8
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",22.8
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05314,"bonn, stadt",
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",11.7
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",12.6
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",13.3
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",14.1
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",15.8
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",18.3
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",19.6
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",22.6
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",23.1
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",24.1
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",25.6
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",27.0
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",
2022,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",11.7
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",12.6
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",13.3
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",14.1
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",15.8
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",18.3
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",19.6
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",22.6
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",23.1
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",24.1
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05315,"köln, stadt",25.6
